Node Number =   5620
  289.31506197   42.19716756   42.19716800
  289.31310129   42.20076439   42.20076400
  289.31114038   42.20436118   42.20436100
  289.30943508   42.20777455   42.20777500
  289.30772958   42.21118789   42.21118800
  289.30564492   42.21502710   42.21502700
  289.30356000   42.21886626   42.21886600
  289.30153575   42.22194041   42.22194000
  289.29951130   42.22501453   42.22501500
  289.29689689   42.22764020   42.22764000
  289.29350814   42.23012713   42.23012700
  289.28940367   42.22987366   42.22987400
  289.28383828   42.22906388   42.22906400
  289.27932617   42.22833994   42.22834000
  289.27480205   42.22761577   42.22761600
  289.26986764   42.22672735   42.22672700
  289.26517611   42.22578591   42.22578600
  289.26100930   42.22510347   42.22510300
  289.25645702   42.22419388   42.22419400
  289.25325427   42.22341247   42.22341200
  289.24685286   42.22405064   42.22405100
  289.24782090   42.22258450   42.22258500
  289.25054678   42.22278655   42.22278700
  289.24500803   42.22530726   42.22530700
  289.28018209   42.17398122   42.17398100
  289.27962608   42.17250924   42.17250900
  289.28965018   42.17995048   42.17995000
  289.28666865   42.17955368   42.17955400
  289.28436287   42.17959595   42.17959600
  289.28287845   42.17819771   42.17819800
  289.28163837   42.17701595   42.17701600
  289.27940050   42.17547465   42.17547500
  289.29245878   42.18047423   42.18047400
  289.29516520   42.18092091   42.18092100
  289.29818000   42.18154812   42.18154800
  289.30140022   42.18222662   42.18222700
  289.30472155   42.18298202   42.18298200
  289.30910166   42.18438318   42.18438300
  289.31238368   42.18567657   42.18567700
  289.31219659   42.18929493   42.18929500
  289.31136939   42.19272133   42.19272100
  289.31007222   42.19586648   42.19586600
  289.30869983   42.19930836   42.19930800
  289.30730375   42.20257419   42.20257400
  289.30570307   42.20585781   42.20585800
  289.30375934   42.20950407   42.20950400
  289.30191120   42.21327678   42.21327700
  289.29933869   42.21674899   42.21674900
  289.29744666   42.21992722   42.21992700
  289.29477658   42.22341688   42.22341700
  289.29156035   42.22699392   42.22699400
  289.28654810   42.22668204   42.22668200
