Node Number =   5620
  289.29817862   42.21213406   18.21500000
  289.29947399   42.20931315   18.57400000
  289.29632392   42.21520441   18.65700000
  289.29424321   42.21776950   13.39900000
  289.29182870   42.22110724   16.36000000
  289.28924846   42.22396698   16.96200000
  289.28469735   42.22358518   15.31900000
  289.28072893   42.22306197   13.55300000
  289.27688052   42.22267424   14.40100000
  289.27298035   42.22211777   14.54800000
  289.26997730   42.22188699   12.31800000
  289.26432601   42.22130722    8.99900000
  289.26674744   42.22155868   10.74000000
  289.25906872   42.22203727    6.41500000
  289.26113717   42.22100326    6.65400000
  289.25533091   42.22149632    4.43400000
  289.25637563   42.22182569    4.59000000
  289.25739212   42.22126361    4.65000000
  289.25165981   42.22029207   -2.24800000
  289.25264739   42.22050864   -5.55100000
  289.25362516   42.22073776   -1.71900000
  289.25491655   42.22073788    1.78100000
  289.24176804   42.22353366  -10.93300000
  289.24294512   42.22237585  -11.48900000
  289.24419655   42.22111947  -18.51200000
  289.24543027   42.21981808  -13.22800000
  289.24672660   42.21858609  -12.34600000
  289.24845147   42.21935655  -11.07500000
  289.25007295   42.21991669   -5.06000000
  289.27521269   42.17409580   -4.26400000
  289.27440266   42.17275850   -3.28200000
  289.29027574   42.18464673   11.70600000
  289.28804262   42.18390689   10.58300000
  289.28611975   42.18327112    9.11200000
  289.28395964   42.18249734    4.97800000
  289.28260787   42.18193437   -5.91000000
  289.28167359   42.18076229  -17.05700000
  289.28065949   42.17975897   -9.10600000
  289.27934846   42.17894147   -4.81600000
  289.27785346   42.17798803   -3.08500000
  289.27615894   42.17687964   -3.39700000
  289.27471173   42.17573371   -3.70600000
  289.29323391   42.18554299   12.28700000
  289.29623967   42.18654744   10.17000000
  289.30117680   42.18822700   15.67100000
  289.29866629   42.18733303   13.66300000
  289.30386394   42.18972494   16.31700000
  289.30356257   42.19246947   16.82000000
  289.30138928   42.19753711   12.62200000
  289.30154375   42.19499898   13.38600000
  289.30086264   42.19969539   14.57800000
  289.29971882   42.20180579   10.64900000
  289.29876699   42.20366667   12.14100000
  289.29615340   42.20817227   15.12900000
  289.29692071   42.20586392   14.67600000
  289.29355219   42.21357987   16.48300000
  289.29483804   42.21065902   14.60000000
  289.29196835   42.21610224   16.02600000
  289.28998680   42.21837963   13.62100000
  289.28722677   42.22102240   13.36000000
  289.28315980   42.22070587   14.27300000
  289.27918969   42.22039866   13.73800000
  289.27595803   42.22013992   12.52500000
  289.27070576   42.21992072   12.64700000
  289.27356145   42.21995720   13.97600000
  289.26812016   42.21988460   10.81200000
  289.26250414   42.21984869    6.93700000
  289.26515934   42.21982136    9.48500000
  289.25899389   42.22093853    5.06000000
  289.26006603   42.22024616    5.86700000
  289.26083987   42.21972335    1.74000000
  289.25624626   42.22073568    1.12400000
  289.25760636   42.22034638    1.68700000
  289.25142069   42.21929333   -4.36900000
